name,path,size,file_or_dir
5b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,51,directory
5d,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,73,directory
60,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,79,directory
63,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,389,directory
6a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,553,directory
72,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,704,directory
73,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,805,directory
78,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,271,directory
79,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,529,directory
7f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,651,directory
83,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,534,directory
85,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,229,directory
88,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,79,directory
8b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,135,directory
8e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,230,directory
8f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,165,directory
90,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,172,directory
92,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,82,directory
94,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,443,directory
95,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,920,directory
96,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,236,directory
97,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,66,directory
98,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,395,directory
99,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,158,directory
9c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,482,directory
9d,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,155,directory
a3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,456,directory
a4,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,408,directory
a9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,147,directory
ab,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,515,directory
ac,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,301,directory
ae,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,461,directory
b1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,155,directory
b2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,284,directory
b5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,498,directory
b9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,781,directory
c0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,802,directory
c1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,78,directory
c3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,156,directory
c6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,151,directory
c7,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,387,directory
c8,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,158,directory
ca,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,214,directory
cb,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,1309,directory
cc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,357,directory
cf,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,599,directory
d0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,210,directory
d1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,161,directory
d8,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,371,directory
d9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,179,directory
da,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,166,directory
de,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,308,directory
df,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,333,directory
e0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,115,directory
e1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,275,directory
e3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,650,directory
e6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,168,directory
e9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,866,directory
ed,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,141,directory
ee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,154,directory
ef,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,634,directory
f2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,107,directory
f4,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,640,directory
f9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,191,directory
fc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,457,directory
info,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,0,directory
pack,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,2723,directory
09cb06398671745e3792afa1c190d4c6ae189b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\00,179,file
2687562496308ab1e7e52acdc05be046264f07,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\00,156,file
9a04c1f67e5e50bf2292dec30a8d1d5accc55d,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\01,158,file
6ddd0f346f90aaa2eece2e6efbf35a78773f19,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\03,804,file
7e8c097e638884219c6fbbbb5063400572bdc1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\03,115,file
4d90906e6c908bf2fd5cea5e337a2c4f91f81c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\06,158,file
c6e2912fce7ebd12155466835a2a260454f702,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\06,560,file
6895db1b428eeff77a13214116ac5d7f1e9adb,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\07,363,file
a83e242be1893eb49cbae3f119259ac1f424f9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\0c,204,file
6c79c1351fcb1d475c391f44f547129d907921,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\0e,55,file
e5da64df19ccfacb9bdd16ca61f67e96c660e4,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\0f,172,file
5ce2da2d6447d11dfe32bfb846c3d5b199fc99,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\10,142,file
61f0d579a2d039026facf5bd65a2144eceaa55,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\15,376,file
9ed39f66acb9c03aa02edc70ad4f2afb47ddd0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\15,403,file
efbd303fa8e35b1c662bfb07ca0b3a1c00a16a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\15,567,file
